lane	owner	trigger	job	commands	evidence
architecture-quality-coverage	.github/workflows/ci.yml	pull_request,push-main,workflow_dispatch	quality	./gradlew -Pmap.testJavaVersion=21 qualityGate --console=plain	checkAll,Spotless,Javadoc,Checkstyle,SpotBugs,JaCoCo,architecture
supported-test-jdk	.github/workflows/ci.yml	pull_request,push-main,workflow_dispatch	test-java-25	./gradlew -Pmap.testJavaVersion=25 supportedJdkTests --console=plain	every normal JUnit suite on Java 25 with Java 21 compilation; no duplicate formatting, static-analysis, coverage, or Javadoc tasks
render-regression	.github/workflows/ci.yml	pull_request,push-main,workflow_dispatch	render-regression	./gradlew renderRegression --console=plain	portable tolerant rendering
shapefile-corpus	.github/workflows/ci.yml	pull_request,push-main,workflow_dispatch	shapefile-corpus	./gradlew primeShapefileCorpusDependencies --console=plain ; ./gradlew --offline shapefileCorpus --rerun-tasks --console=plain	primed isolated corpus
dted-corpus	.github/workflows/ci.yml	pull_request,push-main,workflow_dispatch	dted-corpus	./gradlew primeDtedCorpusDependencies --console=plain ; ./gradlew --offline dtedCorpus --rerun-tasks --console=plain	primed isolated corpus
performance-evidence	.github/workflows/ci.yml	pull_request,push-main,workflow_dispatch	performance-evidence	./gradlew :modules:mundane-map-performance-tests:testClasses --console=plain ; ./gradlew --offline performanceEvidence --rerun-tasks --console=plain	canonical descriptive evidence
native-image	.github/workflows/native-image.yml	pull_request,push-main,workflow_dispatch	native-smoke	./gradlew nativeSmoke --console=plain	Ubuntu 24.04 Linux x86-64 GraalVM Java 21
offline-repository	.github/workflows/offline-repository.yml	relevant-pull-request,relevant-push-main,workflow_dispatch	offline-repository	./gradlew offlineRepositoryVerification --console=plain --no-configuration-cache	isolated empty Gradle home and staged Maven repository
sqlite-glibc	.github/workflows/sqlite-adapter-evidence.yml	relevant-pull-request,relevant-push-main,workflow_dispatch	glibc	./gradlew :modules:mundane-map-io-geopackage-xerial:check :modules:mundane-map-io-mbtiles-xerial:check :modules:mundane-map-io-geopackage-xerial:stageDeploymentEvidence :modules:mundane-map-io-mbtiles-xerial:stageDeploymentEvidence --console=plain ; test "$(getconf GNU_LIBC_VERSION)" = "${{ matrix.glibc }}" ; test "$(uname -m)" = "x86_64" ; for adapter in geopackage mbtiles ; -Dos.name='Not Linux' -Dos.arch=x86_64 ; -Dos.name=Linux -Dos.arch=not-x86 ; grep -Fx 'SQLITE_ADAPTER_UNAVAILABLE|unsupportedPlatform' ; if [[ "$jar" != *-natives-linux.jar ]] ; grep -Fx 'SQLITE_ADAPTER_UNAVAILABLE|nativeLoad' ; -Dorg.sqlite.tmpdir="$unusable" ; grep -Fx 'SQLITE_ADAPTER_UNAVAILABLE|temporaryDirectory' ; grep -Fx SUCCESS	Java 21 Ubuntu 22.04/24.04 checks, staged probes, rejection cases, and success for both adapters
sqlite-musl	.github/workflows/sqlite-adapter-evidence.yml	relevant-pull-request,relevant-push-main,workflow_dispatch	musl	./gradlew :modules:mundane-map-io-geopackage-xerial:stageDeploymentEvidence :modules:mundane-map-io-mbtiles-xerial:stageDeploymentEvidence --console=plain ; docker run --rm ; cat /etc/alpine-release ; for adapter in geopackage mbtiles ; grep -Fx "SQLITE_ADAPTER_UNAVAILABLE|unsupportedPlatform"	Alpine 3.20 musl rejection for both adapters
publication-consumer	README.md	explicit-opt-in	documentation	./gradlew publicationDryRun consumerSmoke --console=plain	staged artifacts and isolated Java 21 consumer
live-track-smoke	README.md	explicit-opt-in	documentation	./gradlew liveTrackSmoke --console=plain	bounded deterministic 10k smoke
live-track-evidence	examples/live-track-stress/README.md	explicit-opt-in	documentation	./gradlew liveTrackEvidence -PliveTrackProfile=1m --console=plain	10k/100k/1m named profiles
